,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
B_Acc,V,0.5105,0.5223,0.5366,0.7054,0.5718,0.6204,0.6104,0.6425
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8653,0.8653,0.8653,0.8064,0.7752,0.7332,0.71,0.8699
F1,S,0,0,0,0.3919,0.4065,0.3601,0.273,0.5052
F.5,24,0,0,0,0.3641,0.3823,0.3192,0.2371,0.5632
F2,C,0,0,0,0.4303,0.4472,0.4273,0.3332,0.474
Gmean,S,0,0,0,0.6256,0.6132,0.5936,0.4987,0.6514
B_Acc,V,0.5,0.5,0.5,0.6615,0.6609,0.6425,0.583,0.698
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8716,0.8716,0.8716,0.4599,0.7984,0.7754,0.7583,0.8151
F1,S,0,0,0,0.3147,0.3768,0.3748,0.3116,0.3899
F.5,25,0,0,0,0.2258,0.3539,0.3367,0.2721,0.3618
F2,C,0,0,0,0.5208,0.4169,0.4338,0.3836,0.4318
Gmean,S,0,0,0,0.5926,0.594,0.6156,0.5572,0.6174
B_Acc,V,0.5,0.5,0.5,0.6626,0.6572,0.6582,0.6345,0.6683
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.834,0.758,0.772,0.76,0.766,0.7,0.818,0.75
F1,S,0.7895,0.7149,0.6805,0.7226,0.6748,0.6705,0.7941,0.7055
F.5,26,0.8043,0.6896,0.7335,0.6961,0.7348,0.633,0.7485,0.6804
F2,C,0.7776,0.7467,0.638,0.7549,0.6283,0.7186,0.8474,0.734
Gmean,S,0.8202,0.7572,0.7294,0.7591,0.7212,0.6974,0.827,0.7501
B_Acc,V,0.8227,0.7618,0.744,0.7639,0.7366,0.7099,0.8307,0.7511
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.994,0.996,0.994,0.996,0.994,0.994,0.992,0.996
F1,S,0.9816,0.9875,0.9816,0.9875,0.979,0.9816,0.975,0.9875
F.5,27,0.979,0.9881,0.979,0.9875,0.991,0.9784,0.975,0.9875
F2,C,0.9849,0.9873,0.9849,0.9875,0.9687,0.9851,0.975,0.9875
Gmean,S,0.9911,0.9923,0.9911,0.9924,0.9801,0.9912,0.9848,0.9924
B_Acc,V,0.9914,0.9926,0.9914,0.9926,0.9812,0.9914,0.9851,0.9926
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9068,0.8968,0.8889,0.8631,0.861,0.8451,0.8373,0.8511
F1,S,0,0.02857,0.2036,0.4512,0.3159,0.3966,0.395,0.4004
F.5,28,0,0.03846,0.2267,0.3913,0.2899,0.341,0.3324,0.3451
F2,C,0,0.02273,0.1879,0.5384,0.3541,0.4854,0.4933,0.488
Gmean,S,0,0.04422,0.2845,0.7249,0.5137,0.689,0.6981,0.6874
B_Acc,V,0.5,0.5033,0.5714,0.7567,0.6501,0.7265,0.7311,0.7298
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8448,0.8545,0.843,0.7577,0.8353,0.8028,0.8068,0.8086
F1,S,0.5306,0.5647,0.5156,0.5945,0.549,0.6154,0.6276,0.6166
