,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8489,0.8489,0.8383,0.8511,0.7362,0.7915,0.534,0.6362,0.5936
F1,S,0,0,0.0404,0,0.2966,0.2324,0.3158,0.2919,0.2851
F.5,22,0,0,0.05507,0,0.267,0.2404,0.2371,0.2385,0.2258
F2,C,0,0,0.03229,0,0.3361,0.2289,0.4737,0.3808,0.3909
Gmean,S,0,0,0.07367,0,0.5389,0.4131,0.5965,0.5596,0.557
B_Acc,V,0.4987,0.4987,0.5043,0.5,0.5857,0.5593,0.6084,0.5741,0.5668
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8653,0.8653,0.8653,0.8653,0.6526,0.7958,0.2839,0.6419,0.7028
F1,S,0,0,0,0,0.3204,0.3094,0.2684,0.3271,0.3256
F.5,24,0,0,0,0,0.2506,0.2941,0.1875,0.2525,0.2776
F2,C,0,0,0,0,0.4482,0.3328,0.4728,0.4656,0.4081
Gmean,S,0,0,0,0,0.625,0.5118,0.3859,0.6387,0.5985
B_Acc,V,0.5,0.5,0.5,0.5,0.6379,0.6091,0.5733,0.646,0.6219
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8716,0.8716,0.8716,0.8716,0.8067,0.8298,0.3656,0.6733,0.7429
F1,S,0,0,0,0,0.3917,0.2978,0.2701,0.2695,0.3123
F.5,25,0,0,0,0,0.3596,0.307,0.1901,0.2166,0.2667
F2,C,0,0,0,0,0.4348,0.2944,0.4669,0.3637,0.3815
Gmean,S,0,0,0,0,0.6237,0.4492,0.4941,0.5583,0.5792
B_Acc,V,0.5,0.5,0.5,0.5,0.6647,0.6019,0.6003,0.5929,0.6198
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.628,0.608,0.612,0.764,0.76,0.762,0.542,0.76,0.76
F1,S,0.4709,0.4499,0.4452,0.7099,0.7142,0.7048,0.6158,0.7143,0.7123
F.5,26,0.5056,0.4785,0.487,0.695,0.6907,0.6931,0.5116,0.6908,0.6915
F2,C,0.4435,0.4266,0.4142,0.727,0.7407,0.7186,0.7736,0.7408,0.7366
Gmean,S,0.5636,0.546,0.5412,0.7581,0.7595,0.7539,0.5151,0.7595,0.7577
B_Acc,V,0.5926,0.5736,0.574,0.7599,0.7605,0.7563,0.6114,0.7605,0.7596
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.946,0.95,0.976,0.996,0.996,0.996,0.992,0.992,0.99
F1,S,0.8202,0.8346,0.9221,0.9867,0.9875,0.9867,0.9757,0.9757,0.9705
F.5,27,0.8537,0.868,0.9399,0.9944,0.9881,0.9944,0.9693,0.9699,0.9617
F2,C,0.7977,0.8112,0.9078,0.9795,0.9873,0.9795,0.9826,0.9824,0.9803
